
,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
978,1971,NBA,3,47,CHI,Mike Gale,21.259,G,,Elizabeth City State University,1977,1982,453,7.4,2.5,4.3,1.9,0.4,.474,.477,.160,.825,18.0,.077
979,1973,NBA,1,13,CAP,Nick Weatherspoon,23.284,F,,University of Illinois at Urbana-Champaign,1974,1980,453,9.0,4.9,0.9,0.8,0.3,.455,.455,,.713,15.2,.075
980,2000,NBA,1,29,LAL,Mark Madsen,24.158,F,,Stanford University,2001,2009,453,2.2,2.6,0.4,0.3,0.2,.457,.465,.063,.527,8.2,.074
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
981,2005,NBA,2,36,MIL,Ersan Ilyasova,18.049,F,,,2007,2015,453,10.7,6.0,1.1,0.7,0.4,.447,.477,.370,.776,29.3,.130
982,1976,NBA,1,17,GSW,Sonny Parker,21.084,F-G,,Texas A&amp;M University,1977,1982,452,9.9,4.1,2.1,1.4,0.3,.501,.501,.000,.755,26.9,.118
983,2009,NBA,1,3,OKC,James Harden,20.308,G,,Arizona State University,2010,2015,452,19.7,4.3,4.4,1.4,0.4,.444,.494,.370,.854,63.0,.207
984,1959,NBA,4,27,SYR,Paul Neumann,21.065,G,,Stanford University,1962,1967,451,11.1,2.9,3.2,,,.442,.442,,.799,28.3,.124
985,1987,NBA,1,22,BOS,Reggie Lewis,22.218,G-F,,Northeastern University,1988,1993,450,17.6,4.3,2.6,1.3,0.9,.488,.494,.200,.824,38.9,.127
986,2000,NBA,2,33,CHI,Jake Voskuhl,23.245,C,,University of Connecticut,2001,2009,450,4.0,3.4,0.5,0.3,0.4,.487,.488,.333,.714,11.6,.087
